,Название площадки,Адрес,vector
303,Ресторан «Radio»,"г. Москва, улица 2-ая Бауманская, дом 9/23, строение 3","Ресторан «Radio» г. Москва, улица 2-ая Бауманская, дом 9/23, строение 3"
304,Гастроленд Фудмолл,"г. Москва, улица Новослободская, дом 16 а","Гастроленд Фудмолл г. Москва, улица Новослободская, дом 16 а"
305,Напротив театра «Современник»,"г. Москва, Чистопрудный бульвар, дом 19","Напротив театра «Современник» г. Москва, Чистопрудный бульвар, дом 19"
306,"Памятник Пушкину, Пушкинская площадь","г. Москва, Тверская ул.","Памятник Пушкину, Пушкинская площадь г. Москва, Тверская ул."
307,Станция метро «Кузнецкий мост»,"г. Москва, м. Кузнецкий мост","Станция метро «Кузнецкий мост» г. Москва, м. Кузнецкий мост"
308,Gestalt Club Moscow,"г. Москва, Милютинский пер., д. 15, стр. 2а","Gestalt Club Moscow г. Москва, Милютинский пер., д. 15, стр. 2а"
309,Городской ЦКД (г. Озёры),"Московская область, г. Озёры, ул. Ленина, д. 20","Городской ЦКД (г. Озёры) Московская область, г. Озёры, ул. Ленина, д. 20"
310,Бизнес-центр «Демидов»,"г. Москва, улица Тимура Фрунзе, д. 11, стр. 1","Бизнес-центр «Демидов» г. Москва, улица Тимура Фрунзе, д. 11, стр. 1"
311,СДК Горки-10,"п. Горки-10, дом 25а","СДК Горки-10 п. Горки-10, дом 25а"
312,Бар 20,"г. Москва, ул. Бакунинская д. 72, стр. 2","Бар 20 г. Москва, ул. Бакунинская д. 72, стр. 2"
313,Православная Филармония,"г. Москва, Большой Староданиловский пер. д.5 (Конференц зал гостиницы) ","Православная Филармония г. Москва, Большой Староданиловский пер. д.5 (Конференц зал гостиницы) "
314,Центральный Дом Российской Армии (ЦДРА),"г. Москва, Суворовская площадь, дом 2, стр. 1","Центральный Дом Российской Армии (ЦДРА) г. Москва, Суворовская площадь, дом 2, стр. 1"
315,Паб «Гараж»,"улица Большая Полянка, дом 7/10, строение 1","Паб «Гараж» улица Большая Полянка, дом 7/10, строение 1"
316,River’s Bar,"г Москва, наб Нагатинская, дом32 к 1, помещ XXX","River’s Bar г Москва, наб Нагатинская, дом32 к 1, помещ XXX"
317,Метро «Улица 1905 года»,"г. Москва, ст. метро ","Метро «Улица 1905 года» г. Москва, ст. метро "
318,Метро «Парк Культуры»,"г. Москва, Крымская площадь, метро ","Метро «Парк Культуры» г. Москва, Крымская площадь, метро "
319,Метро «Китай-город»,"г. Москва, метро ","Метро «Китай-город» г. Москва, метро "
320,КДЦ им. И.Д. Кобзона (Успенское),"г. Одинцово, с. Успенское, Учительская улица, дом 40а","КДЦ им. И.Д. Кобзона (Успенское) г. Одинцово, с. Успенское, Учительская улица, дом 40а"
321,ЦКТ Кубинка,"Московская обл., Одинцовский г.о, г. Кубинка, Кубинка-8 городок, 25","ЦКТ Кубинка Московская обл., Одинцовский г.о, г. Кубинка, Кубинка-8 городок, 25"
322,ДК ИМ. В.И. Ленина (Красноармейск),"г. Красноармейск, улица Комсомольская, д. 5А","ДК ИМ. В.И. Ленина (Красноармейск) г. Красноармейск, улица Комсомольская, д. 5А"
323,Клуб «Who is Who»,"г. Москва, ул. Малая Дмитровка, д. 20","Клуб «Who is Who» г. Москва, ул. Малая Дмитровка, д. 20"
324,Академия Будущего (Севастопольская),"Москва, улица Азовская, дом 31","Академия Будущего (Севастопольская) Москва, улица Азовская, дом 31"
325,Москино Спутник,"г. Москва, улица Солдатская, дом 15","Москино Спутник г. Москва, улица Солдатская, дом 15"
326,Новая Рига Парк,"Московская область, Волоколамский городской округ, городское поселение Сычёво, деревня Высоково, дом 20","Новая Рига Парк Московская область, Волоколамский городской округ, городское поселение Сычёво, деревня Высоково, дом 20"
327,Бар «Руки ВВерх!» (Можайское шоссе),"г. Москва, Можайское шоссе, дом 45б","Бар «Руки ВВерх!» (Можайское шоссе) г. Москва, Можайское шоссе, дом 45б"
328,"Веранда 32.05, Белый зал","г. Москва, ул. Каретный ряд, д.3, Сад Эрмитаж","Веранда 32.05, Белый зал г. Москва, ул. Каретный ряд, д.3, Сад Эрмитаж"
329,Крыша Roofevents на Цветном,"г.Москва, Цветной бульвар, дом 15, строение 1","Крыша Roofevents на Цветном г.Москва, Цветной бульвар, дом 15, строение 1"
330,Цирк Максимус,"Домодедово, Каширское шоссе, 114","Цирк Максимус Домодедово, Каширское шоссе, 114"
331,Бар «Евгенич»,"г. Москва, улица Арбат, 6/2","Бар «Евгенич» г. Москва, улица Арбат, 6/2"
332,Салон асцидий,"Россия, Москва, Угрешская 31","Салон асцидий Россия, Москва, Угрешская 31"
333,Kozlov Club Unplugged,"г. Москва, улица Мясницкая, дом 15","Kozlov Club Unplugged г. Москва, улица Мясницкая, дом 15"
334,"м. Бауманская, на улице возле керамического панно с изображением Немецкой слободы","м. Бауманская, на улице возле керамического панно с изображением Немецкой слободы","м. Бауманская, на улице возле керамического панно с изображением Немецкой слободы м. Бауманская, на улице возле керамического панно с изображением Немецкой слободы"
335,Крыша «Крым»,"г. Москва, Болотная набережная, 3 , стр. 1","Крыша «Крым» г. Москва, Болотная набережная, 3 , стр. 1"
336,Ресторан «Огни Баку»,"г. Москва, Варшавское ш., д. 152, корп. 2","Ресторан «Огни Баку» г. Москва, Варшавское ш., д. 152, корп. 2"
337,Академия Будущего (м. Новаторская),"г. Москва, Ленинский Проспект, дом 97к4","Академия Будущего (м. Новаторская) г. Москва, Ленинский Проспект, дом 97к4"
338,Wild Club,"Московская обл., Егорьевск, Александра Невского ул. 1 Б","Wild Club Московская обл., Егорьевск, Александра Невского ул. 1 Б"
339,Кафе «АндерСон» (ТРЦ «Фестиваль»),"г. Москва, Мичуринский проспект, Олимпийская деревня, дом 3, корпус 1, ТЦ Фестиваль, 3 этаж, Формула Кино","Кафе «АндерСон» (ТРЦ «Фестиваль») г. Москва, Мичуринский проспект, Олимпийская деревня, дом 3, корпус 1, ТЦ Фестиваль, 3 этаж, Формула Кино"
340,"Кафе «АндерСон», Бутово","г. Москва, Феодосийская улица, дом 7к3","Кафе «АндерСон», Бутово г. Москва, Феодосийская улица, дом 7к3"
341,Пентхаус на Воробьевых горах,"Москва, Мосфильмовская, 70 корпус 3","Пентхаус на Воробьевых горах Москва, Мосфильмовская, 70 корпус 3"
342,Кафе «АндерСон» на Даче (ВДНХ),"г. Москва, ВВЦ, Проспект Мира, дом 119, строение 136","Кафе «АндерСон» на Даче (ВДНХ) г. Москва, ВВЦ, Проспект Мира, дом 119, строение 136"
343,Кафе «АндерСон» Кусковская,"Москва, ул. Кусковская, 47","Кафе «АндерСон» Кусковская Москва, ул. Кусковская, 47"
344,Академия Будущего (Нагатинская),"Москва, 1-й Нагатинский проезд, дом 2, строение 17","Академия Будущего (Нагатинская) Москва, 1-й Нагатинский проезд, дом 2, строение 17"
345,Кафе «АндерСон» Медведково,"Москва, ул. Стартовая, д. 9 к. 2","Кафе «АндерСон» Медведково Москва, ул. Стартовая, д. 9 к. 2"
346,Sound healing center,"г. Москва, Котельническая набережная, дом 1/15кБ, (Этаж 1)","Sound healing center г. Москва, Котельническая набережная, дом 1/15кБ, (Этаж 1)"
347,Кафе «АндерСон» на Соколе,"Москва, Ленинградский проспект, д. 74, стр. 8","Кафе «АндерСон» на Соколе Москва, Ленинградский проспект, д. 74, стр. 8"
348,Кафе «АндерСон» на Гиляровского,"Москва, ул. Гиляровского, д. 39, стр.3","Кафе «АндерСон» на Гиляровского Москва, ул. Гиляровского, д. 39, стр.3"
349,Школа «Sushi Lover»,"Россия, Москва, Измайловское шоссе, 73Ж","Школа «Sushi Lover» Россия, Москва, Измайловское шоссе, 73Ж"
350,Московский деловой клуб,Каретный ряд д.3 стр.3,Московский деловой клуб Каретный ряд д.3 стр.3
351,Молодёжный центр «Мир»,"Истра, улица Ленина, дом 12","Молодёжный центр «Мир» Истра, улица Ленина, дом 12"
352,Pipl bar,"г. Москва, Комсомольская пл., д. 6","Pipl bar г. Москва, Комсомольская пл., д. 6"
353,Клуб «Studio 47»,"г. Москва, Ленинградский проспект 47, стр. 2","Клуб «Studio 47» г. Москва, Ленинградский проспект 47, стр. 2"
354,Центр культуры и досуга «Факел»,"г. Фрязино, улица Вокзальная, дом 2","Центр культуры и досуга «Факел» г. Фрязино, улица Вокзальная, дом 2"
355,"МГУ им. М. В. Ломоносова, кластер «Ломоносов»","г. Москва, Раменский бульвар, дом 1","МГУ им. М. В. Ломоносова, кластер «Ломоносов» г. Москва, Раменский бульвар, дом 1"
356,Театр сказок на ВДНХ. Павильон №9,"г. Москва, проспект Мира, 119, павильон №9","Театр сказок на ВДНХ. Павильон №9 г. Москва, проспект Мира, 119, павильон №9"
357,Центр Культуры «Акрихин»,"Московская область, Старая Купавна, Большая Московская улица, дом 116","Центр Культуры «Акрихин» Московская область, Старая Купавна, Большая Московская улица, дом 116"
358,Ресторан «Жаровня»,"г. Москва, З-я улица Ямского Поля, дом 9","Ресторан «Жаровня» г. Москва, З-я улица Ямского Поля, дом 9"
359,Театр кукол имени С.В. Образцова,"г. Москва, Садовая-Самотечная улица, дом 3","Театр кукол имени С.В. Образцова г. Москва, Садовая-Самотечная улица, дом 3"
360,Бар «Ровесник»,"г. Москва, Малый Гнездниковский пер., д. 9, стр.1","Бар «Ровесник» г. Москва, Малый Гнездниковский пер., д. 9, стр.1"
361,Ресторан «Yauza»,"г. Москва, Подколокольный переулок, дом 16, строение 4","Ресторан «Yauza» г. Москва, Подколокольный переулок, дом 16, строение 4"
362,"Большая Никитская, дом 24, стр.1, подъезд 1","г. Москва, улица Большая Никитская, дом 24, стр.1, подъезд 1","Большая Никитская, дом 24, стр.1, подъезд 1 г. Москва, улица Большая Никитская, дом 24, стр.1, подъезд 1"
363,Ночной клуб «Duplex»,"г. Королёв, Пионерская улица, дом 15, корпус 2, ТЦ Сити, этаж 3","Ночной клуб «Duplex» г. Королёв, Пионерская улица, дом 15, корпус 2, ТЦ Сити, этаж 3"
364,ДК «Цементник» (г. Воскресенск),"г. Воскресенск, улица Чапаева, дом 1","ДК «Цементник» (г. Воскресенск) г. Воскресенск, улица Чапаева, дом 1"
365,ДК им. К. Маркса (г. Подольск),"Московская область, г. Подольск, Большая Зелёновская ул., д. 50","ДК им. К. Маркса (г. Подольск) Московская область, г. Подольск, Большая Зелёновская ул., д. 50"
366,ДК «Юбилейный» (г. Королёв),"Московская обл., г. Королев, мкр. Юбилейный, ул. Тихонравова, д. 19","ДК «Юбилейный» (г. Королёв) Московская обл., г. Королев, мкр. Юбилейный, ул. Тихонравова, д. 19"
367,Бар «Руки ВВерх!» (г. Одинцово),"Московская область, г. Одинцово, улица Говорова, дом 163","Бар «Руки ВВерх!» (г. Одинцово) Московская область, г. Одинцово, улица Говорова, дом 163"
368,Ресторан «Harvey & Monica»,"г. Москва, Котельническая набережная, дом 31","Ресторан «Harvey & Monica» г. Москва, Котельническая набережная, дом 31"
369,Отель «Ibis» Москва,"г. Москва, улица Киевская, дом 2 (5 этаж)","Отель «Ibis» Москва г. Москва, улица Киевская, дом 2 (5 этаж)"
370,Дом-музей И.С. Тургенева,"г. Москва, улица Остоженка, дом 37/7 строение 1","Дом-музей И.С. Тургенева г. Москва, улица Остоженка, дом 37/7 строение 1"
371,Склад № 3,"г. Москва, ул. Малая Семеновская, д. 5с2","Склад № 3 г. Москва, ул. Малая Семеновская, д. 5с2"
372,Vertical Boutique,"г. Москва, улица Малые Каменщики, дом 16","Vertical Boutique г. Москва, улица Малые Каменщики, дом 16"
373,Кафе «Бобры и Утки»,"г. Москва, улица Пятницкая, дом 56, строение 1","Кафе «Бобры и Утки» г. Москва, улица Пятницкая, дом 56, строение 1"
374,Unlock Cafe,"г. Москва, Лубянский проезд, д. 19, стр. 1","Unlock Cafe г. Москва, Лубянский проезд, д. 19, стр. 1"
375,Театр «Классика»,"г. Москва, ул. Марксисткая, д. 9","Театр «Классика» г. Москва, ул. Марксисткая, д. 9"
376,Клуб «Тон71»,"Москва, улица Бакунинская, дом 71","Клуб «Тон71» Москва, улица Бакунинская, дом 71"
377,Школа спасателей,"г. Москва, Проспект Мира, дом 119 стр 531","Школа спасателей г. Москва, Проспект Мира, дом 119 стр 531"
378,Встреча у палат бояр Романовых,"г. Москва, метро Китай город, выход №11 (Варварка, 10 ст.2)","Встреча у палат бояр Романовых г. Москва, метро Китай город, выход №11 (Варварка, 10 ст.2)"
379,ДК «Прожектор»,"ул. 1-ая Владимирская, 10Б, стр.3","ДК «Прожектор» ул. 1-ая Владимирская, 10Б, стр.3"
380,ТЮЗ района Некрасовка,"г. Москва, улица 2-я Вольская, дом 20","ТЮЗ района Некрасовка г. Москва, улица 2-я Вольская, дом 20"
381,Фестиваль «Бессонница»,"M3WG+XR Рыляки, Калужская область","Фестиваль «Бессонница» M3WG+XR Рыляки, Калужская область"
382,"Ленинградский вокзал, зал №2, «под табло»","г. Москва, Комсомольская площадь, д. 3","Ленинградский вокзал, зал №2, «под табло» г. Москва, Комсомольская площадь, д. 3"
383,Клуб «Археология» г. Москва,"г. Москва, Новорязанская ул., д. 29, стр. 3","Клуб «Археология» г. Москва г. Москва, Новорязанская ул., д. 29, стр. 3"
384,Дом Фламенко «Фламенкерия»,"г. Москва, Доброслободская улица, дом 5А","Дом Фламенко «Фламенкерия» г. Москва, Доброслободская улица, дом 5А"
385,Храм Христа Спасителя,"г. Москва, ул. Волхонка, д. 15","Храм Христа Спасителя г. Москва, ул. Волхонка, д. 15"
386,Апарт-Отель «Ханой-Москва»,"г. Москва, Ярославское шоссе, дом 146, корпус 2","Апарт-Отель «Ханой-Москва» г. Москва, Ярославское шоссе, дом 146, корпус 2"
387,Усадьба Разумовского,"г. Москва, улица Казакова, дом 18, строение 1","Усадьба Разумовского г. Москва, улица Казакова, дом 18, строение 1"
388,Ресторан «Solar»,"ул. Покровка, 6","Ресторан «Solar» ул. Покровка, 6"
389,Московский художественный театр комедии,"г. Москва, ул. Ботаническая , д. 21","Московский художественный театр комедии г. Москва, ул. Ботаническая , д. 21"
390,Особняк на Покровке,"г. Москва, улица Покровка, дом 27","Особняк на Покровке г. Москва, улица Покровка, дом 27"
391,Спортбар «Пари Паб»,"улица Большая Лубянка, дом 24/15 строение 1","Спортбар «Пари Паб» улица Большая Лубянка, дом 24/15 строение 1"
392,Международный центр самбо,"г. Москва, Новолужнецкий проезд, дом  13","Международный центр самбо г. Москва, Новолужнецкий проезд, дом  13"
393,Театр «Сатирикон»,"Шереметьевская ул., 8","Театр «Сатирикон» Шереметьевская ул., 8"
394,Бар «Репетиция»,"г. Москва, улица Новослободская, дом 18","Бар «Репетиция» г. Москва, улица Новослободская, дом 18"
395,ТЦ «Солярис» (М. Саларьево),"Киевское шоссе, 23-й километр, дом 1","ТЦ «Солярис» (М. Саларьево) Киевское шоссе, 23-й километр, дом 1"
396,Бар-ресторан «Листва»,"г. Москва, 1-й Тверской-Ямской переулок, д. 18","Бар-ресторан «Листва» г. Москва, 1-й Тверской-Ямской переулок, д. 18"
397,Метро Кунцевская,"г. Москва, м. Кунцевская","Метро Кунцевская г. Москва, м. Кунцевская"
398,Метро «Автозаводская»,"г. Москва, метро Автозаводская","Метро «Автозаводская» г. Москва, метро Автозаводская"
399,Метро «Третьяковская»,"г. Москва, м. Третьяковская","Метро «Третьяковская» г. Москва, м. Третьяковская"
400,Англиканский собор Святого Андрея,"г. Москва, Вознесенский пер, д. 8","Англиканский собор Святого Андрея г. Москва, Вознесенский пер, д. 8"
401,Учебный театр Высшей школы сценических искусств,"Москва, Шереметьевская ул., д. 6 к. 2, помещ. 19","Учебный театр Высшей школы сценических искусств Москва, Шереметьевская ул., д. 6 к. 2, помещ. 19"
402,Театр «Модерн»,"Москва, Спартаковская площадь , д.9/1а","Театр «Модерн» Москва, Спартаковская площадь , д.9/1а"
403,Union Jack Pub,"г. Москва, Нижний Кисельный переулок, д.3, стр. 1","Union Jack Pub г. Москва, Нижний Кисельный переулок, д.3, стр. 1"
404,Троицкий ЦКиТ," г. Троицк, Сиреневый бульвар, дом 1","Троицкий ЦКиТ  г. Троицк, Сиреневый бульвар, дом 1"
405,Глэмпинг и музей астрономии «Astroglamp»,"Тульская обл., Венёвский р-н, п. Студенецкие выселки (140 км от МКАД по трассе М4)","Глэмпинг и музей астрономии «Astroglamp» Тульская обл., Венёвский р-н, п. Студенецкие выселки (140 км от МКАД по трассе М4)"
406,Баунс,"г. Москва, 3-я улица Ямского поля, дом 2, корпус 6","Баунс г. Москва, 3-я улица Ямского поля, дом 2, корпус 6"
407,Anima Москва,"г. Москва, улица Сущевская, дом 21","Anima Москва г. Москва, улица Сущевская, дом 21"
408,Бар «Руки Вверх!» (Митино),"г. Москва, Митинская улица, дом 40","Бар «Руки Вверх!» (Митино) г. Москва, Митинская улица, дом 40"
409,Энергия Баланса,"г. Москва, улица Покровка, дом 1/13/6, строение 2","Энергия Баланса г. Москва, улица Покровка, дом 1/13/6, строение 2"
410,Культурный центр «Белые облака»,"г. Москва, улица Покровка, дом 4","Культурный центр «Белые облака» г. Москва, улица Покровка, дом 4"
411,Бар-ресторан «High Ground»,"г. Москва, улица Нагатинская, дом 16","Бар-ресторан «High Ground» г. Москва, улица Нагатинская, дом 16"
412,ДК «Вперед» Долгопрудный ,"Московская область, г. Долгопрудный, пл. Собина, д. 3","ДК «Вперед» Долгопрудный  Московская область, г. Долгопрудный, пл. Собина, д. 3"
413,ДК им. Карла Маркса,"Московская область, г. Электросталь, ул. Карла Маркса, 9","ДК им. Карла Маркса Московская область, г. Электросталь, ул. Карла Маркса, 9"
414,ДК «Трёхгорка»,"улица Рочдельская дом 15, строение 12А","ДК «Трёхгорка» улица Рочдельская дом 15, строение 12А"
415,Fix Kitchen,"г. Москва, улица Садовая-Кудринская, дом 3А","Fix Kitchen г. Москва, улица Садовая-Кудринская, дом 3А"
416,Московский Молодежный Центр «Планета КВН»,"ул. Шереметьевская, д. 2","Московский Молодежный Центр «Планета КВН» ул. Шереметьевская, д. 2"
417,Fest Bar,"г. Москва, улица Страстной бульвар, дом 4 строение 3","Fest Bar г. Москва, улица Страстной бульвар, дом 4 строение 3"
418,Ресторан «Южный порт»,"г. Москва, Корабельная улица 17, корп. 2","Ресторан «Южный порт» г. Москва, Корабельная улица 17, корп. 2"
419,Клуб «Bizi»,"г. Москва, 3-я улица Ямского Поля, дом 2к13","Клуб «Bizi» г. Москва, 3-я улица Ямского Поля, дом 2к13"
420,Get Loft,"Фридриха Энгельса, дом 46 строение 2","Get Loft Фридриха Энгельса, дом 46 строение 2"
421,Культурный центр «Энтузиаст»,"Шоссе Энтузиастов, дом 10/2, вход со двора в углу здания","Культурный центр «Энтузиаст» Шоссе Энтузиастов, дом 10/2, вход со двора в углу здания"
422,Геологический музей имени Вернадского,"ул. Моховая, д.11, стр.11","Геологический музей имени Вернадского ул. Моховая, д.11, стр.11"
423,ООЦ им. Моссовета,"Преображенская пл., д.12","ООЦ им. Моссовета Преображенская пл., д.12"
424,HookahPlace Digital,"г. Москва, Варшавское шоссе, дом 9, строение 1Г","HookahPlace Digital г. Москва, Варшавское шоссе, дом 9, строение 1Г"
425,Караоке Pro,"г. Москва, ул. Большая Полянка 1/3","Караоке Pro г. Москва, ул. Большая Полянка 1/3"
426,КЦ «Зеленоград»,"124482,г. Москва, Зеленоград, Центральная пл. д. 1","КЦ «Зеленоград» 124482,г. Москва, Зеленоград, Центральная пл. д. 1"
427,Клуб Ивана Смирнова,"г. Москва, Долгоруковская улица, дом 31, строение 32","Клуб Ивана Смирнова г. Москва, Долгоруковская улица, дом 31, строение 32"
428,Центр современной музыки и искусств «Тон»,"г. Москва, Бутырская улица, дом 46, стр 1","Центр современной музыки и искусств «Тон» г. Москва, Бутырская улица, дом 46, стр 1"
429,Лаундж-бар «Rich Lounge»,"г. Москва, улица Лобачевского, дом 102 строение 1","Лаундж-бар «Rich Lounge» г. Москва, улица Лобачевского, дом 102 строение 1"
430,Театр «На Басманной». Малая сцена,"ул.Новая Басманная, д.25/2, стр.2","Театр «На Басманной». Малая сцена ул.Новая Басманная, д.25/2, стр.2"
431,Клуб «Amann»,"г. Москва, Саввинская набережная, д. 12, стр. 8","Клуб «Amann» г. Москва, Саввинская набережная, д. 12, стр. 8"
432,Театр Мимики и Жеста,"Измайловский бульвар, д.39/41","Театр Мимики и Жеста Измайловский бульвар, д.39/41"
433,Центр драматургии и режиссуры на Соколе,"пр. Ленинградский, д. 71 корп. Г","Центр драматургии и режиссуры на Соколе пр. Ленинградский, д. 71 корп. Г"
434,Музей «Бункер-42 на Таганке»,"5-й Котельнический пер., д.11","Музей «Бункер-42 на Таганке» 5-й Котельнический пер., д.11"
435,Glavstandup Hall,"г. Москва, Садовая-Спасская улица, дом 21/1","Glavstandup Hall г. Москва, Садовая-Спасская улица, дом 21/1"
436,ДК им. Г. Конина,"г. Егорьевск, улица Советская, дом 174","ДК им. Г. Конина г. Егорьевск, улица Советская, дом 174"
437,Новый драматический театр,"г.Москва, ул. Проходчиков, 2","Новый драматический театр г.Москва, ул. Проходчиков, 2"
438,КЗ «Филармония-2»,"Мичуринский пр-т, Олимпийская деревня, д.1","КЗ «Филармония-2» Мичуринский пр-т, Олимпийская деревня, д.1"
439,Rdrc racepark (Верея),"456, д.Верея, г. Московская обл., 140153","Rdrc racepark (Верея) 456, д.Верея, г. Московская обл., 140153"
440,ГПЗ-1,"г. Москва, Шарикоподшипниковская улица,  дом 13, строение 33","ГПЗ-1 г. Москва, Шарикоподшипниковская улица,  дом 13, строение 33"
441,Культурный центр Эммануила Виторгана,"Остоженка, Сеченовский пер., д.5, стр.2","Культурный центр Эммануила Виторгана Остоженка, Сеченовский пер., д.5, стр.2"
442,Клуб «Lookin Rooms»,"ул.Тверская, д.18","Клуб «Lookin Rooms» ул.Тверская, д.18"
443,"Центр развития «Среда возможностей», Башня ОКО","г. Москва, Красногвардейский проезд, дом 21с2, подъезд «C», этаж 4","Центр развития «Среда возможностей», Башня ОКО г. Москва, Красногвардейский проезд, дом 21с2, подъезд «C», этаж 4"
444,Studio 46,"г. Москва, Новослободская улица, дом 46","Studio 46 г. Москва, Новослободская улица, дом 46"
445,Причал «Новоспасский мост»,"г. Москва, Краснохолмская набережная, причал ","Причал «Новоспасский мост» г. Москва, Краснохолмская набережная, причал "
446,Театр «Геликон-Опера»,"г.Москва, ул. Большая Никитская, дом 19/16","Театр «Геликон-Опера» г.Москва, ул. Большая Никитская, дом 19/16"
447,Московский Детский театр марионеток,"ул.Абельмановская, д.17А","Московский Детский театр марионеток ул.Абельмановская, д.17А"
448,Усадьба Зубовых,"Москва, ул.Солженицына, д.9, стр.1","Усадьба Зубовых Москва, ул.Солженицына, д.9, стр.1"
449,Настойкин,"г. Москва, улица Садовая-Спасская, дом 12/23 строение 2","Настойкин г. Москва, улица Садовая-Спасская, дом 12/23 строение 2"
450,Театр кукол «Огниво» имени С. Железкина (г. Мытищи),"г. Мытищи, Шараповская улица, дом 4, корпус 1","Театр кукол «Огниво» имени С. Железкина (г. Мытищи) г. Мытищи, Шараповская улица, дом 4, корпус 1"
451,Музей Скрябина,"Б.Николопесковский пер., д.11","Музей Скрябина Б.Николопесковский пер., д.11"
452,Крестьянская усадьба «Остров»,"г. Москва, Село Остров, улица Царскосельская, дом 1","Крестьянская усадьба «Остров» г. Москва, Село Остров, улица Царскосельская, дом 1"
453,Театр имени Евгения Вахтангова,"г.Москва, Арбат, 26","Театр имени Евгения Вахтангова г.Москва, Арбат, 26"
454,МТС Live Лето,"г. Москва, Лужники, д. 24, Фестивальная площадь","МТС Live Лето г. Москва, Лужники, д. 24, Фестивальная площадь"
455,Кафе «Гоген»,"г. Москва, ул. Нижняя Сыромятническая д. 10, стр. 10","Кафе «Гоген» г. Москва, ул. Нижняя Сыромятническая д. 10, стр. 10"
456,Центр развития «Открытый мир»,"г. Москва, улица Павловская, дом 18","Центр развития «Открытый мир» г. Москва, улица Павловская, дом 18"
457,Этнопарк «Кочевник»,"Хотьково, Московская область","Этнопарк «Кочевник» Хотьково, Московская область"
458,Московский еврейский театр «Шалом»,"Москва, улица Ивана Франко, дом 14","Московский еврейский театр «Шалом» Москва, улица Ивана Франко, дом 14"
459,Клуб «Инкогнито»,"г. Москва, улица Большая Семеновская, дом 11, строение 1","Клуб «Инкогнито» г. Москва, улица Большая Семеновская, дом 11, строение 1"
460,Технопарк «Калибр»,"г. Москва, улица Годовикова, дом 9","Технопарк «Калибр» г. Москва, улица Годовикова, дом 9"
461,Букводом,"г. Москва, улица 5-й Лучевой просек, дом 1","Букводом г. Москва, улица 5-й Лучевой просек, дом 1"
462,Станция метро «Римская»,"Москва, м. Римская","Станция метро «Римская» Москва, м. Римская"
463,Авиа Плаза,"г. Москва, Авиамоторная улица, дом 10 к.2","Авиа Плаза г. Москва, Авиамоторная улица, дом 10 к.2"
464,Прогресс сцена А. Джигарханяна театра сатиры,"г. Москва, Ломоносовский пр-т, 17","Прогресс сцена А. Джигарханяна театра сатиры г. Москва, Ломоносовский пр-т, 17"
465,Дом офицеров Одинцово,"ул. Маршала Жукова, 9","Дом офицеров Одинцово ул. Маршала Жукова, 9"
466,Ресторан «Москвичи»,"Раушская набережная, дом 4/5, стр. 1. Напротив Кремля и Парка Зарядье, на набережной","Ресторан «Москвичи» Раушская набережная, дом 4/5, стр. 1. Напротив Кремля и Парка Зарядье, на набережной"
467,Bali Bar,"г.Москва, улица Никольская, дом 25","Bali Bar г.Москва, улица Никольская, дом 25"
468,Дом культуры «Мир» Лыткарино,"г. Лыткарино, ул. Ленина д. 2а","Дом культуры «Мир» Лыткарино г. Лыткарино, ул. Ленина д. 2а"
469,WonderQuest,"г. Москва, Ленинский проспект, д. 16","WonderQuest г. Москва, Ленинский проспект, д. 16"
470,Лаунж-Бар «Баратынский» (г. Казань),"Республика Татарстан, г. Казань, ул. Лево-Булачная, д. 52","Лаунж-Бар «Баратынский» (г. Казань) Республика Татарстан, г. Казань, ул. Лево-Булачная, д. 52"
471,ДК им. В.И. Ленина (Серпухов),"Серпухов, улица Физкультурная, дом 16","ДК им. В.И. Ленина (Серпухов) Серпухов, улица Физкультурная, дом 16"
472,90 этаж «Над Москвой» башня «Федерация»,"г. Москва, улица Пресненская набережная, дом 12","90 этаж «Над Москвой» башня «Федерация» г. Москва, улица Пресненская набережная, дом 12"
473,Экскурсия Площадь Арбатских Ворот,"г. Москва, площадь Арбатские Ворота","Экскурсия Площадь Арбатских Ворот г. Москва, площадь Арбатские Ворота"
474,Экскурсия метро Третьяковская выход 2,Выход 2 из Метро Третьяковская,Экскурсия метро Третьяковская выход 2 Выход 2 из Метро Третьяковская
475,4brewers Pub,"г. Москва, улица Большая Полянка, дом 65/74с3","4brewers Pub г. Москва, улица Большая Полянка, дом 65/74с3"
476,Квест для всех,"г. Москва, Проспект Мира, 89","Квест для всех г. Москва, Проспект Мира, 89"
477,Культурно-образовательный центр «Этномир»,"Калужская обл, Боровский р-он, дер. Петрово","Культурно-образовательный центр «Этномир» Калужская обл, Боровский р-он, дер. Петрово"
478,Депо Lounge,"г. Москва, улица Лесная, дом 20, стр. 3","Депо Lounge г. Москва, улица Лесная, дом 20, стр. 3"
479,Метро «Новослободская»,"г. Москва, м. Новослободская","Метро «Новослободская» г. Москва, м. Новослободская"
480,Арт-центр «Exposed»,"г. Москва, Космодамианская набережная, дом 52, строение 11","Арт-центр «Exposed» г. Москва, Космодамианская набережная, дом 52, строение 11"
481,Клуб «Treff8»,"г. Москва, ул. Казакова д. 8, стр.2","Клуб «Treff8» г. Москва, ул. Казакова д. 8, стр.2"
