,Название площадки,Адрес,vector
43,ДК «Прогресс» (Запрудня),"Талдомский г.о, рабочий поселок Запрудня, улица Первомайская дом 29","ДК «Прогресс» (Запрудня) Талдомский г.о, рабочий поселок Запрудня, улица Первомайская дом 29"
44,Центральный дом культуры железнодорожников,"г.Москва, Комсомольская пл., 4","Центральный дом культуры железнодорожников г.Москва, Комсомольская пл., 4"
45,Театр «Сфера»,"Каретный ряд, 3; Сад «Эрмитаж»","Театр «Сфера» Каретный ряд, 3; Сад «Эрмитаж»"
46,МХТ имени Чехова,"г.Москва, Камергерский пер., 3","МХТ имени Чехова г.Москва, Камергерский пер., 3"
47,Центральный академический театр Российской Армии,"г. Москва, Суворовская пл., 2","Центральный академический театр Российской Армии г. Москва, Суворовская пл., 2"
48,ДК имени Горбунова,"г. Москва, Новозаводская ул., 27","ДК имени Горбунова г. Москва, Новозаводская ул., 27"
49,РАМТ,"г. Москва, Театральная площадь, 2","РАМТ г. Москва, Театральная площадь, 2"
50,Люмьер-Холл,"г. Москва, Берсеневский переулок, дом 2, строение 1","Люмьер-Холл г. Москва, Берсеневский переулок, дом 2, строение 1"
51,Молодежный Центр «Русь»,"г. Коломна,улица Астахова, дом 23","Молодежный Центр «Русь» г. Коломна,улица Астахова, дом 23"
52,Ресторан «Хитрые люди»,"г. Москва, 4-ый Сыромятнический пер., д.1/8, стр.10.","Ресторан «Хитрые люди» г. Москва, 4-ый Сыромятнический пер., д.1/8, стр.10."
53,Большой концертный зал «Космос»,"г. Москва, Пр-т Мира, 150","Большой концертный зал «Космос» г. Москва, Пр-т Мира, 150"
54,RNDM,"Москва, Наставнический переулок, 13-15с3","RNDM Москва, Наставнический переулок, 13-15с3"
55,Театр «Маска»,"Москва, Комсомольский проспект, дом 28","Театр «Маска» Москва, Комсомольский проспект, дом 28"
56,Экоцентр «Яуза»,"г. Москва, Юрловский проезд, напротив владения 10А","Экоцентр «Яуза» г. Москва, Юрловский проезд, напротив владения 10А"
57,Coyote Ugly Moscow,"Москва, ул. Большая Дмитровка, 13, 1 этаж","Coyote Ugly Moscow Москва, ул. Большая Дмитровка, 13, 1 этаж"
58,Преображенская старообрядческая община,"г. Москва, улица Преображенский Вал, дом 17 корпус 1","Преображенская старообрядческая община г. Москва, улица Преображенский Вал, дом 17 корпус 1"
59,Джаз-клуб «Эссе»,"г. Москва, улица Пятницкая, дом 27с3А","Джаз-клуб «Эссе» г. Москва, улица Пятницкая, дом 27с3А"
60,Пивокуров,"Россия, г. Электросталь, улица Ленина 2к5","Пивокуров Россия, г. Электросталь, улица Ленина 2к5"
61,Клуб «Twenty One Club»,"г. Москва, Новый Арбат, дом 21","Клуб «Twenty One Club» г. Москва, Новый Арбат, дом 21"
