,Адрес,для людей с нарушениями зрения,для людей с нарушениями слуха,для людей передвигающихся на креслах-колясках,для людей c нарушениями опорно-двигательного аппарата,для людей c умственными нарушениями,Название учреждения,vector
58," Москва, Лукинская, 7, 1",0,0,1,1,0,ГБУДО г. Москвы ДМШ имени Б.Л. Пастернака,"ГБУДО г. Москвы ДМШ имени Б.Л. Пастернака  Москва, Лукинская, 7, 1"
59," 127434, Москва, Ивановская, 14, 127434, 127434",0,0,0,0,0,ГБУДО г. Москвы ДМШ им. А.Д.Артоболевской,"ГБУДО г. Москвы ДМШ им. А.Д.Артоболевской  127434, Москва, Ивановская, 14, 127434, 127434"
60," Москва, Новокосинская, 6а",1,1,1,1,1,ГБУ ЦТДС Новокосино Родник,"ГБУ ЦТДС Новокосино Родник  Москва, Новокосинская, 6а"
61," Москва, улица Полярная, 10, 1",1,1,0,1,1,ГБУ СДЦ Кентавр филиал Олимп,"ГБУ СДЦ Кентавр филиал Олимп  Москва, улица Полярная, 10, 1"
62," город Москва, проезд Дежнева, 22, 4",1,1,1,1,1,ГБУ СДЦ Кентавр филиал Олимп,"ГБУ СДЦ Кентавр филиал Олимп  город Москва, проезд Дежнева, 22, 4"
63," Тверской, Москва, Каретный ряд, 3, 7, 3",0,0,1,1,1,ГАУК г.Москвы МГС Эрмитаж,"ГАУК г.Москвы МГС Эрмитаж  Тверской, Москва, Каретный ряд, 3, 7, 3"
64," город Москва, Сокольнический вал, 1, 1",1,1,1,1,0,ГАУК г.Москва ПКиО Сокольники,"ГАУК г.Москва ПКиО Сокольники  город Москва, Сокольнический вал, 1, 1"
65," Филевский парк, Москва, Большая Филевская, 24",0,1,0,0,0,ГАУК г. Москвы ПКиО Фили,"ГАУК г. Москвы ПКиО Фили  Филевский парк, Москва, Большая Филевская, 24"
66," Филевский парк, Москва, Большая Филевская, 22, 15",0,0,0,0,0,ГАУК г. Москвы ПКиО Фили,"ГАУК г. Москвы ПКиО Фили  Филевский парк, Москва, Большая Филевская, 22, 15"
67," Филевский парк, Москва, Большая Филевская, 22, 13",0,0,1,0,0,ГАУК г. Москвы ПКиО Фили,"ГАУК г. Москвы ПКиО Фили  Филевский парк, Москва, Большая Филевская, 22, 13"
68," Москва, улица Таганская, 40-42",0,0,1,1,1,ГАУК г. Москвы ПКиО Таганский,"ГАУК г. Москвы ПКиО Таганский  Москва, улица Таганская, 40-42"
69," Москва, улица Лазо, 7, владение, 4, 7",0,1,1,1,1,ГАУК г. Москвы ПКиО Перовский,"ГАУК г. Москвы ПКиО Перовский  Москва, улица Лазо, 7, владение, 4, 7"
70," Москва, Угличская, 13, 8",1,1,1,1,0,ГАУК г. Москвы ПКиО Лианозовский,"ГАУК г. Москвы ПКиО Лианозовский  Москва, Угличская, 13, 8"
71," Пресненский, Москва, Мантулинская, 5, 5",0,1,1,1,1,"ГАУК г. Москвы ПКиО Красная Пресня, основная территория","ГАУК г. Москвы ПКиО Красная Пресня, основная территория  Пресненский, Москва, Мантулинская, 5, 5"
72," Москва, Красная Пресня, 4А, 2",1,1,1,1,1,ГАУ Московский зоологический парк,"ГАУ Московский зоологический парк  Москва, Красная Пресня, 4А, 2"
73," Москва, Большая Грузинская , 1, 102",1,1,1,1,1,ГАУ Московский зоологический парк,"ГАУ Московский зоологический парк  Москва, Большая Грузинская , 1, 102"
